"metab_identifier","expID","expDate","expName","expCage","expFileName","Date_Time_1","position","vo2","vco2","cv.o2","cv.co2","pup_ID","pup_no","cage","DOB_pup.dd.mm.yyyy","Exclude","Exclude_Notes","challenge_stat","challenge_dose","challenge_visit","group","sac_hpc","visit","vis.type","visit.name","temp","temp2","notes","hours_post_challenge","cage_expdate_vis_pup","avg_score","tube_content_status"
"20210310|22825|3|v5","20210310","2021-03-10","Empty.Tubes","22825","22825_100321_v5","10-March-2021 17:06:41",3,-0.00215231,0.000470827,-590.567924864913,719.735452655349,"F3",3,"22825","03.03.2021",NA,"bladder","Yes",1.1,"v1","empty",49.5,"v5","monitor",NA,NA,NA,NA,8.03,"22825_100321_v5_3",NA,0
"20210310|22825|3|v6","20210310","2021-03-10","Empty.Tubes","22825","22825_100321_v6","10-March-2021 20:46:42",3,-0.016417685,-0.002931635,-49.4924376673,-201.38216659367,"F3",3,"22825","03.03.2021",NA,"bladder","Yes",1.1,"v1","empty",49.5,"v6","monitor",NA,NA,NA,NA,11.72,"22825_100321_v6_3",NA,0
"20210310|22825|4|v5","20210310","2021-03-10","Empty.Tubes","22825","22825_100321_v5","10-March-2021 17:08:01",4,-0.0019189047,-0.004018565,-188.856140010115,-19.7737888790372,"R1",4,"22825","03.03.2021",NA,"sc","Yes",1.1,"v1","empty",0.22,"v5","monitor",NA,NA,NA,NA,8.03,"22825_100321_v5_4",0,0
"20210310|22825|4|v6","20210310","2021-03-10","Empty.Tubes","22825","22825_100321_v6","10-March-2021 20:45:22",4,-0.0141454065,-0.0025412123,-105.810962418546,-166.534844910542,"R1",4,"22825","03.03.2021",NA,"sc","Yes",1.1,"v1","empty",0.22,"v6","monitor",NA,NA,NA,NA,11.72,"22825_100321_v6_4",0,0
"20210421|22821|1|v2","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v2","21-April-2021 08:54:04",1,0.01350987,0.0161325425,300.036511662423,129.026583924276,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v2","monitor",NA,NA,NA,NA,0.98,"22821_210421_v2_1",NA,0
"20210421|22821|1|v3","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v3","21-April-2021 09:46:48",1,0.024769129,0.024693281,169.055227380264,121.976573433713,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v3","monitor",NA,NA,NA,NA,1.85,"22821_210421_v3_1",NA,0
"20210421|22821|1|v4","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v4","21-April-2021 11:39:28",1,0.041976515,0.0360566553,209.260964377466,140.787252066374,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v4","monitor",NA,NA,NA,NA,3.75,"22821_210421_v4_1",NA,0
"20210421|22821|1|v5","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v5","21-April-2021 15:46:18",1,0.038309435,0.0485330535,204.801650549621,121.931796783817,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v5","monitor",NA,NA,NA,NA,7.82,"22821_210421_v5_1",NA,0
"20210421|22821|1|v6","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v6","21-April-2021 19:42:11",1,0.00395154,0.00924809025,843.152283473142,153.593895650815,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v6","monitor",NA,NA,NA,NA,11.73,"22821_210421_v6_1",NA,0
"20210421|22821|1|v7","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v7","22-April-2021 00:01:03",1,0.035182615,0.030684704,194.744298762054,135.679884144572,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v7","monitor",NA,NA,NA,NA,16.08,"22821_210421_v7_1",NA,0
"20210421|22821|1|v9","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v9","22-April-2021 07:39:39",1,0.020070085,0.022367522,268.575528347184,126.047120148967,"F1",1,"22821","14.04.2021","Y","BL","Yes",1.1,"v1","empty",0.3,"v9","monitor",NA,NA,NA,NA,23.73,"22821_210421_v9_1",NA,0
"20210421|22821|2|v9","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v9","22-April-2021 07:41:59",2,0.011002118,0.0163095165,149.894643790079,82.6019155781905,"F2",2,"22821","14.04.2021",NA,NA,"Yes",1.1,"v1","empty",19.55,"v9","monitor",NA,NA,NA,NA,23.73,"22821_210421_v9_2",NA,0
"20210421|22821|5|v9","20210421","2021-04-21","Empty.Tubes","22821","22821_210421_v9","22-April-2021 07:41:59",5,-0.01717742,0.006049474,-3.68903370254751,43.2544553221839,"R2",5,"22821","14.04.2021",NA,NA,"Yes",1.1,"v1","empty",19.88,"v9","monitor",NA,NA,NA,NA,23.73,"22821_210421_v9_5",NA,0
"20210421|22825|3|v9","20210421","2021-04-21","Empty.Tubes","22825","22825_210421_v9","22-April-2021 07:28:53",3,-0.011468226,0.008837686,-26.0000777269066,120.944422893194,"F3",3,"22825","13.04.2021",NA,NA,"Yes",1.1,"v1","empty",17.32,"v9","monitor",NA,NA,NA,NA,23.77,"22825_210421_v9_3",NA,0
"20210421|22825|6|v9","20210421","2021-04-21","Empty.Tubes","22825","22825_210421_v9","22-April-2021 07:31:13",6,-0.012601359,0.0099961265,-61.3929304775032,182.489295608497,"R3",6,"22825","13.04.2021",NA,NA,"Yes",1.1,"v1","empty",17.32,"v9","monitor",NA,NA,NA,NA,23.77,"22825_210421_v9_6",NA,0
"20210504|22823|2|v10","20210504","2021-05-04","Empty.Tubes","22823","22823_040521_v10","05-May-2021 08:39:31",2,0.0036632065,0.008944031,482.676868738432,54.3951548750207,"F2",2,"22823","26.04.2021",NA,NA,"Yes",1.1,"v2","empty",17.32,"v10","monitor",NA,NA,NA,NA,24,"22823_040521_v10_2",NA,0
"20210504|22823|2|v15","20210504","2021-05-04","Empty.Tubes","22823","22823_040521_v15","06-May-2021 08:36:38",2,0.0096601765,0.018410615,156.980305201124,30.596191214799,"F2",2,"22823","26.04.2021",NA,NA,"Yes",1.1,"v2","empty",17.32,"v15","monitor",NA,NA,NA,NA,47.88,"22823_040521_v15_2",NA,0
"20210504|22823|4|v10","20210504","2021-05-04","Empty.Tubes","22823","22823_040521_v10","05-May-2021 08:39:31",4,0.019385225,0.01854844,24.3480101531799,29.6699511281031,"F4",4,"22823","26.04.2021","Y","BLEED","Yes",1.1,"v2","empty",0.23,"v10","monitor",NA,NA,NA,NA,24,"22823_040521_v10_4",NA,0
"20210504|22823|4|v15","20210504","2021-05-04","Empty.Tubes","22823","22823_040521_v15","06-May-2021 08:33:38",4,0.07111244,0.047330695,15.2670361962638,106.13035876709,"F4",4,"22823","26.04.2021","Y","BLEED","Yes",1.1,"v2","empty",0.23,"v15","monitor",NA,NA,NA,NA,47.88,"22823_040521_v15_4",NA,0
