"metab_identifier","expDate","group","reading","vo2","vco2","tube_temp","cv.o2","cv.co2"
"20210310|22823|1|v1","2021-03-10","pup",2,0.2757999,0.2040171,"RT",6.53639645099265,4.26379714805201
"20210310|22823|1|v1","2021-03-10","pup",1,0.3025299,0.2167016,"RT",6.53639645099265,4.26379714805201
"20210310|22823|1|v2","2021-03-10","pup",1,0.09164835,0.06112789,"RT",33.923224913145,23.7253147338792
"20210310|22823|1|v2","2021-03-10","pup",2,0.05618666,0.04356437,"RT",33.923224913145,23.7253147338792
"20210310|22823|1|v3","2021-03-10","pup",1,0.09164835,0.06112789,"RT",33.923224913145,23.7253147338792
"20210310|22823|1|v3","2021-03-10","pup",2,0.05618666,0.04356437,"RT",33.923224913145,23.7253147338792
"20210310|22823|1|v4","2021-03-10","pup",2,0.07415021,0.04550185,"RT",9.29815092264181,4.21174173514522
"20210310|22823|1|v4","2021-03-10","pup",1,0.08458683,0.04829527,"RT",9.29815092264181,4.21174173514522
"20210310|22823|1|v5","2021-03-10","pup",2,0.0692723,0.01189763,"RT",14.5229235128566,88.5000660623519
"20210310|22823|1|v5","2021-03-10","pup",1,0.05636979,0.05169035,"RT",14.5229235128566,88.5000660623519
"20210310|22823|2|v1","2021-03-10","pup",1,0.2878111,0.238509,"RT",5.77434441550602,7.48611064198657
"20210310|22823|2|v1","2021-03-10","pup",2,0.26523,0.2145276,"RT",5.77434441550602,7.48611064198657
"20210310|22823|2|v2","2021-03-10","pup",1,0.07170662,0.05311498,"RT",11.6433375731279,22.31376186169
"20210310|22823|2|v2","2021-03-10","pup",2,0.06079745,0.038638,"RT",11.6433375731279,22.31376186169
"20210310|22823|2|v3","2021-03-10","pup",1,0.07170662,0.05311498,"RT",11.6433375731279,22.31376186169
"20210310|22823|2|v3","2021-03-10","pup",2,0.06079745,0.038638,"RT",11.6433375731279,22.31376186169
"20210310|22823|2|v4","2021-03-10","pup",1,0.07807416,0.04838445,"RT",11.3338119410587,5.48047046829622
"20210310|22823|2|v4","2021-03-10","pup",2,0.06648859,0.04477429,"RT",11.3338119410587,5.48047046829622
"20210310|22823|2|v5","2021-03-10","pup",1,0.02627681,0.03578386,"RT",70.2802805684281,142.153589329769
"20210310|22823|2|v5","2021-03-10","pup",2,0.07819454,-9.23993e-05,"RT",70.2802805684281,142.153589329769
"20210310|22823|3|v1","2021-03-10","pup",2,0.3064137,0.2552775,"RT",6.25491782348137,7.86102931887636
"20210310|22823|3|v1","2021-03-10","pup",1,0.3347727,0.2853275,"RT",6.25491782348137,7.86102931887636
"20210310|22823|3|v2","2021-03-10","pup",2,0.0621586,0.05184198,"RT",0.919165846062247,11.5970793174169
"20210310|22823|3|v2","2021-03-10","pup",1,0.06135582,0.0439839,"RT",0.919165846062247,11.5970793174169
"20210310|22823|3|v3","2021-03-10","pup",1,0.06135582,0.0439839,"RT",0.919165846062247,11.5970793174169
"20210310|22823|3|v3","2021-03-10","pup",2,0.0621586,0.05184198,"RT",0.919165846062247,11.5970793174169
"20210310|22823|3|v4","2021-03-10","pup",2,0.09515184,0.05721786,"RT",2.98679698075974,6.58282661858305
"20210310|22823|3|v4","2021-03-10","pup",1,0.09925774,0.06280462,"RT",2.98679698075974,6.58282661858305
"20210310|22823|3|v5","2021-03-10","pup",2,0.1156552,0.0105273,"RT",85.0348164033927,68.0528079705885
"20210310|22823|3|v5","2021-03-10","pup",1,0.02879761,0.03005644,"RT",85.0348164033927,68.0528079705885
"20210310|22823|4|v1","2021-03-10","pup",2,0.2438105,0.1857035,"RT",20.5314500116644,1.66042936674954
"20210310|22823|4|v1","2021-03-10","pup",1,0.1819927,0.190116,"RT",20.5314500116644,1.66042936674954
"20210310|22823|4|v2","2021-03-10","pup",2,0.2625883,0.1898974,"RT",1.71396650985611,1.4063722202429
"20210310|22823|4|v2","2021-03-10","pup",1,0.2562996,0.1861577,"RT",1.71396650985611,1.4063722202429
"20210310|22823|4|v3","2021-03-10","pup",2,0.2625883,0.1898974,"RT",1.71396650985611,1.4063722202429
"20210310|22823|4|v3","2021-03-10","pup",1,0.2562996,0.1861577,"RT",1.71396650985611,1.4063722202429
"20210310|22823|4|v4","2021-03-10","pup",2,0.1634964,0.105328,"RT",15.1847800496514,22.9574441763444
"20210310|22823|4|v4","2021-03-10","pup",1,0.2028298,0.1461516,"RT",15.1847800496514,22.9574441763444
"20210310|22823|4|v5","2021-03-10","pup",2,0.1970049,0.03272071,"RT",54.4938107132058,31.4804906355516
"20210310|22823|4|v5","2021-03-10","pup",1,0.08741106,0.05145922,"RT",54.4938107132058,31.4804906355516
"20210310|22823|4|v6","2021-03-10","pup",2,0.01746527,0.1296209,"RT",87.061827582339,8.75493051149418
"20210310|22823|4|v6","2021-03-10","pup",1,0.07340977,0.1467288,"RT",87.061827582339,8.75493051149418
"20210310|22824|1|v1","2021-03-10","pup",2,0.2422747,0.1627757,"RT",5.36536639028926,18.3090028835086
"20210310|22824|1|v1","2021-03-10","pup",1,0.2613829,0.211191,"RT",5.36536639028926,18.3090028835086
"20210310|22824|1|v2","2021-03-10","pup",2,0.08242968,0.05713706,"RT",12.1176534313233,3.8383164462393
"20210310|22824|1|v2","2021-03-10","pup",1,0.09787942,0.0603251,"RT",12.1176534313233,3.8383164462393
"20210310|22824|1|v3","2021-03-10","pup",1,0.1094613,0.06250118,"RT",31.3767652115583,22.6489384141039
"20210310|22824|1|v3","2021-03-10","pup",2,0.06970923,0.04524534,"RT",31.3767652115583,22.6489384141039
"20210310|22824|1|v4","2021-03-10","pup",1,0.1163003,0.08650726,"RT",40.1374719045,41.6592049711019
"20210310|22824|1|v4","2021-03-10","pup",2,0.06487895,0.04713854,"RT",40.1374719045,41.6592049711019
"20210310|22824|1|v5","2021-03-10","pup",1,0.1042095,0.04665541,"RT",15.8677677962717,34.1303961285156
"20210310|22824|1|v5","2021-03-10","pup",2,0.13055,0.02851412,"RT",15.8677677962717,34.1303961285156
"20210310|22824|1|v6","2021-03-10","pup",2,0.04210059,0.0408759,"RT",39.0882454904243,31.6997055394233
"20210310|22824|1|v6","2021-03-10","pup",1,0.07426297,0.06449483,"RT",39.0882454904243,31.6997055394233
"20210310|22824|1|v7","2021-03-10","pup",2,0.1056593,0.06319749,"RT",6.16231561130858,6.56712069068452
"20210310|22824|1|v7","2021-03-10","pup",1,0.09683575,0.0575886,"RT",6.16231561130858,6.56712069068452
"20210310|22824|2|v1","2021-03-10","pup",2,0.2774984,0.2423568,"RT",3.14090011325773,11.561581246343
"20210310|22824|2|v1","2021-03-10","pup",1,0.26544,0.2057249,"RT",3.14090011325773,11.561581246343
"20210310|22824|2|v2","2021-03-10","pup",1,0.07393204,0.04973766,"RT",0.385541851005902,3.09962056342585
"20210310|22824|2|v2","2021-03-10","pup",2,0.07353003,0.05196678,"RT",0.385541851005902,3.09962056342585
"20210310|22824|2|v3","2021-03-10","pup",2,0.06506796,0.04595951,"RT",21.5821409564016,21.01810932346
"20210310|22824|2|v3","2021-03-10","pup",1,0.08850446,0.06200529,"RT",21.5821409564016,21.01810932346
"20210310|22824|2|v4","2021-03-10","pup",1,0.07717034,0.05580395,"RT",21.3768600674816,26.5156108758914
"20210310|22824|2|v4","2021-03-10","pup",2,0.05690403,0.03818215,"RT",21.3768600674816,26.5156108758914
"20210310|22824|2|v5","2021-03-10","pup",1,0.1134801,0.02354103,"RT",6.0776341320467,29.3921303666964
"20210310|22824|2|v5","2021-03-10","pup",2,0.1041283,0.01543955,"RT",6.0776341320467,29.3921303666964
"20210310|22824|2|v6","2021-03-10","pup",1,0.05511259,0.04961538,"RT",62.615700439226,42.7923271094149
"20210310|22824|2|v6","2021-03-10","pup",2,0.02128625,0.02656435,"RT",62.615700439226,42.7923271094149
"20210310|22824|2|v7","2021-03-10","pup",2,0.008459819,0.008548852,"RT",18.8605738942548,4.24983160639372
"20210310|22824|2|v7","2021-03-10","pup",1,0.01106354,0.009078571,"RT",18.8605738942548,4.24983160639372
"20210310|22824|3|v1","2021-03-10","pup",1,0.2049824,0.1606626,"RT",6.08385301175219,7.76227986592258
"20210310|22824|3|v1","2021-03-10","pup",2,0.1880734,0.1439435,"RT",6.08385301175219,7.76227986592258
"20210310|22824|3|v2","2021-03-10","pup",1,0.07072357,0.05068941,"RT",3.52974599233199,1.71030061101013
"20210310|22824|3|v2","2021-03-10","pup",2,0.06727915,0.04947802,"RT",3.52974599233199,1.71030061101013
"20210310|22824|3|v3","2021-03-10","pup",1,0.08276089,0.04548043,"RT",14.7528918934255,2.04011690559923
"20210310|22824|3|v3","2021-03-10","pup",2,0.06712499,0.04681182,"RT",14.7528918934255,2.04011690559923
"20210310|22824|3|v4","2021-03-10","pup",2,0.04579683,0.03224539,"RT",14.7142205892824,13.5671336264039
"20210310|22824|3|v4","2021-03-10","pup",1,0.0564334,0.03908877,"RT",14.7142205892824,13.5671336264039
"20210310|22824|3|v5","2021-03-10","pup",2,0.08215261,0.02344877,"RT",35.3340238018935,8.8659090098803
"20210310|22824|3|v5","2021-03-10","pup",1,0.136877,0.02658549,"RT",35.3340238018935,8.8659090098803
"20210310|22824|3|v6","2021-03-10","pup",2,0.02142658,0.02683847,"RT",47.7844632464053,35.898083580811
"20210310|22824|3|v6","2021-03-10","pup",1,0.04329526,0.04509889,"RT",47.7844632464053,35.898083580811
"20210310|22824|3|v7","2021-03-10","pup",2,-0.00284004,-0.003105254,"RT",246.035458787455,458.42405824799
"20210310|22824|3|v7","2021-03-10","pup",1,0.01051859,0.005875888,"RT",246.035458787455,458.42405824799
"20210310|22824|4|v1","2021-03-10","pup",2,0.2867311,0.2466991,"RT",10.1033618294905,22.4391394723771
"20210310|22824|4|v1","2021-03-10","pup",1,0.2484938,0.1791329,"RT",10.1033618294905,22.4391394723771
"20210310|22824|4|v2","2021-03-10","pup",2,0.05365842,0.04603504,"RT",5.78999427862811,8.46263453664211
"20210310|22824|4|v2","2021-03-10","pup",1,0.05823969,0.04083665,"RT",5.78999427862811,8.46263453664211
"20210310|22824|4|v3","2021-03-10","pup",1,0.07605986,0.04720814,"RT",12.2476724298185,4.82436972893402
"20210310|22824|4|v3","2021-03-10","pup",2,0.06393567,0.05054276,"RT",12.2476724298185,4.82436972893402
"20210310|22824|4|v4","2021-03-10","pup",2,0.05624627,0.03854368,"RT",0.331526647504565,11.0564521407037
"20210310|22824|4|v4","2021-03-10","pup",1,0.0565106,0.04508158,"RT",0.331526647504565,11.0564521407037
"20210310|22824|4|v5","2021-03-10","pup",1,0.1297563,0.0222462,"RT",77.8378794838123,1.84810860678611
"20210310|22824|4|v5","2021-03-10","pup",2,0.03762832,0.02283533,"RT",77.8378794838123,1.84810860678611
"20210310|22824|4|v6","2021-03-10","pup",2,0.003269935,0.01719197,"RT",118.05609536453,30.8175229119233
"20210310|22824|4|v6","2021-03-10","pup",1,0.0363135,0.02677236,"RT",118.05609536453,30.8175229119233
"20210310|22824|4|v7","2021-03-10","pup",1,0.009750422,-0.002319654,"RT",646.704893859411,-93.6958109298746
"20210310|22824|4|v7","2021-03-10","pup",2,-0.006251191,-0.0004708578,"RT",646.704893859411,-93.6958109298746
"20210310|22825|1|v1","2021-03-10","pup",2,0.3203603,0.1747678,"RT",9.69011546239846,2.31975552901822
"20210310|22825|1|v1","2021-03-10","pup",1,0.2792737,0.1805969,"RT",9.69011546239846,2.31975552901822
"20210310|22825|1|v2","2021-03-10","pup",1,0.07574957,0.05116564,"RT",29.6671257505553,10.6463285877472
"20210310|22825|1|v2","2021-03-10","pup",2,0.04947928,0.04400138,"RT",29.6671257505553,10.6463285877472
"20210310|22825|1|v3","2021-03-10","pup",2,0.07248419,0.04720639,"RT",22.3789220698123,15.9777804207534
"20210310|22825|1|v3","2021-03-10","pup",1,0.09973696,0.05923177,"RT",22.3789220698123,15.9777804207534
"20210310|22825|1|v4","2021-03-10","pup",2,0.02824708,0.03429937,"RT",52.7140355125496,21.4562421812925
"20210310|22825|1|v4","2021-03-10","pup",1,0.06181855,0.04656853,"RT",52.7140355125496,21.4562421812925
"20210310|22825|1|v5","2021-03-10","pup",1,0.06582554,0.04441565,"RT",8.62483264488569,11.3396797306295
"20210310|22825|1|v5","2021-03-10","pup",2,0.05825808,0.03782157,"RT",8.62483264488569,11.3396797306295
"20210310|22825|1|v6","2021-03-10","pup",2,0.05154604,0.04251494,"RT",24.1059657552866,9.29494965573731
