"pup_no","cage","sex","DOB_dam.dd.mm.yyyy","DOB_pup.dd.mm.yyyy","Exclude","Exclude_Notes","AEC","Experiment_type","Experiment_name","challenge_stat","challenge_dose","challenge_visit","treatment_dose","treatment_visit","sacrifice_type","sacrifice_time.hh.mm","sacrifice_date.dd.mm.yyyy","group","outcome","sac_hpc","visit","visit_type","visit.name","date.dd.mm.yyyy","time.hh.mm","time2.hh.mm","score.1","score.2","weight","pos","order","temp","temp2","done.by","notes","visit_date","hours_post_challenge","expdate","cage_expdate_visit_pup","kcal_hr","rq","vo2","vco2","kcal_hr_g","avg_score"
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v1_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v2_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v3_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v4_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v5_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v6_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v7_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v8_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300322,"22811_300322_v9_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v10",NA,"monitor","03/04/22",16.45,17.03,NA,NA,22.73,NA,NA,NA,NA,NA,NA,"2022-04-03 16:45:00",NA,300322,"22811_300322_v10_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v11",NA,"monitor","04/04/22",6.37,6.58,NA,NA,24.18,NA,NA,NA,NA,NA,NA,"2022-04-04 06:37:00",NA,300322,"22811_300322_v11_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v12",NA,"monitor","04/04/22",15.01,15.15,NA,NA,23.16,NA,NA,NA,NA,NA,NA,"2022-04-04 15:01:00",NA,300322,"22811_300322_v12_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v13",NA,"monitor","05/04/22",9.43,9.59,NA,NA,24.4,NA,NA,NA,NA,"ES",NA,"2022-04-05 09:43:00",NA,300322,"22811_300322_v13_NA",NA,NA,NA,NA,NA,NA
NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,NA,NA,"dam",NA,NA,"v14",NA,"monitor","05/04/22",16.09,16.23,NA,NA,23.38,NA,NA,NA,NA,NA,NA,"2022-04-05 16:09:00",NA,300322,"22811_300322_v14_NA",NA,NA,NA,NA,NA,NA
